case_no,complaint_id,direction,official_issue,my_issue,notes,primary_grievance,decisive_signal,separable,rule_note
52,9994533,ACCURACY -> PERMISSIBLE-PURPOSE,Incorrect information on your report,Improper use of your report,Complaint explicitly cites lack of permissible purpose under FCRA §1681b.,PERMISSIBLE-PURPOSE,"""I never gave any written consent to report anything on my consumer reports.""",YES,Lack of written consent is the decisive grievance.
56,9482363,ACCURACY -> PERMISSIBLE-PURPOSE,Incorrect information on your report,Improper use of your report,Unauthorized inquiry/permissible-purpose complaint.,PERMISSIBLE-PURPOSE,"""I recently reviewed a copy of my credit report and noticed I had fraudulent accounts on my report.""",NO,Fraudulent accounts imply both accuracy and unauthorized reporting; difficult to separate cleanly.
61,11525923,ACCURACY -> PERMISSIBLE-PURPOSE,Incorrect information on your report,Improper use of your report,Complaint cites FCRA permissible-purpose/privacy provisions rather than data accuracy.,PERMISSIBLE-PURPOSE,"""I noticed a hard inquiry that I did not authorize.""",YES,Unauthorized hard inquiry is the central complaint.
75,9819802,ACCURACY -> PERMISSIBLE-PURPOSE,Incorrect information on your report,Improper use of your report,Complaint explicitly alleges reporting without written consent/permissible purpose under FCRA §1681b.,PERMISSIBLE-PURPOSE,"""I am a victim of identity theft and did not make the charge.""",NO,Identity theft creates both an accuracy and permissible-purpose theory.
87,11886886,ACCURACY -> PERMISSIBLE-PURPOSE,Incorrect information on your report,Improper use of your report,Complaint focuses on FCRA privacy rights and unauthorized reporting.,PERMISSIBLE-PURPOSE,"""Your proof of each negative claim... should also include proof of a permissible purpose.""",NO,Accuracy and permissible purpose are argued with nearly equal weight.
3,8476723,INVESTIGATION -> ACCURACY,Problem with a company's investigation into an existing problem,Incorrect information on your report,,ACCURACY,"""I discovered personal information that does not belong to me.""",YES,The investigation is requested only to correct inaccurate information.
23,9743158,INVESTIGATION -> ACCURACY,Problem with a company's investigation into an existing problem,Incorrect information on your report,Mortgage servicer allegedly reported late payments incorrectly.,ACCURACY,"""reported the late payment... while those three months were the review period of mortgage assistance application.""",YES,The complaint is that the reported payment history is incorrect.
25,13934964,INVESTIGATION -> ACCURACY,Problem with a company's investigation into an existing problem,Incorrect information on your report,General complaint about inaccurate credit reporting.,ACCURACY,"""I urge you to promptly remove any false accounts from my credit report.""",YES,The focus is on false information rather than the dispute process.
59,11617390,INVESTIGATION -> ACCURACY,Problem with a company's investigation into an existing problem,Incorrect information on your report,,ACCURACY,"""incorrect information on my credit report... the errors remain unresolved.""",NO,Complaint equally emphasizes inaccurate information and the failure to correct it.
65,12100375,INVESTIGATION -> ACCURACY,Problem with a company's investigation into an existing problem,Incorrect information on your report,,ACCURACY,"""the account is accurate, without providing any evidence of a thorough investigation.""",NO,"The complaint attacks the investigation, but the consumer's objective is correction of inaccurate reporting."
71,13260479,INVESTIGATION -> ACCURACY,Problem with a company's investigation into an existing problem,Incorrect information on your report,,ACCURACY,"""I had two late payments on an account that I, in fact, paid on time.""",YES,The investigation request is the mechanism; the grievance is inaccurate reporting.
77,8356278,INVESTIGATION -> ACCURACY,Problem with a company's investigation into an existing problem,Incorrect information on your report,,ACCURACY,"""I am filing this complaint for falsely reporting misleading information.""",YES,"Mentions delayed responses, but the complaint is centered on false reporting."
78,11907839,INVESTIGATION -> ACCURACY,Problem with a company's investigation into an existing problem,Incorrect information on your report,,ACCURACY,"""failure to correct inaccurate information regarding late payments.""",YES,Multiple disputes provide context; inaccurate late-payment reporting is the core grievance.
91,16375835,INVESTIGATION -> ACCURACY,Problem with a company's investigation into an existing problem,Incorrect information on your report,,ACCURACY,"""ensure confidentiality, accuracy, and relevancy.""",YES,"Although the complaint cites the FCRA broadly, it centers on inaccurate credit reporting."
27,14982390,INVESTIGATION -> PERMISSIBLE-PURPOSE,Problem with a company's investigation into an existing problem,Improper use of your report,Complaint relies on unauthorized furnishing of credit information/privacy provisions rather than accuracy.,PERMISSIBLE-PURPOSE,"""a consumer reporting agency can not furnish a account without my written instructions.""",YES,The complaint is based on lack of authorization to furnish information.
68,12002147,INVESTIGATION -> PERMISSIBLE-PURPOSE,Problem with a company's investigation into an existing problem,Improper use of your report,Unauthorized inquiry/privacy complaint.,PERMISSIBLE-PURPOSE,"""I even provided her the documentation of the fact that my identity was...""",NO,"Identity theft, documentation, and dispute failures are intertwined with the underlying authorization issue."
11,13437471,PERMISSIBLE-PURPOSE -> ACCURACY,Improper use of your report,Incorrect information on your report,"Unauthorized inquiries are mentioned, but most of the complaint centers on inaccurate charged-off accounts.",ACCURACY,"""unauthorized inquiries and charged off accounts on my profile.""",NO,"Unauthorized inquiries are present, but the dominant harm is inaccurate charged-off accounts."
17,14988267,PERMISSIBLE-PURPOSE -> ACCURACY,Improper use of your report,Incorrect information on your report,,ACCURACY,"""You have reported inaccurate and unauthorized accounts on my credit report.""",NO,Both unauthorized reporting and inaccurate information are emphasized equally.
29,16709254,PERMISSIBLE-PURPOSE -> ACCURACY,Improper use of your report,Incorrect information on your report,,ACCURACY,"""continues to be reported inaccurately despite prior disputes.""",NO,Accuracy and reinvestigation are inseparable; chose accuracy because the false reporting is the primary harm.
38,11575913,PERMISSIBLE-PURPOSE -> ACCURACY,Improper use of your report,Incorrect information on your report,Negative credit reporting allegedly violates SCRA protections.,ACCURACY,"""I request a full investigation into the negative items reported on my credit report.""",YES,The investigation is requested to correct allegedly inaccurate negative reporting under SCRA.
51,16878951,PERMISSIBLE-PURPOSE -> ACCURACY,Improper use of your report,Incorrect information on your report,,ACCURACY,"""The creditor or furnisher is reporting a negative account with inaccurate or incomplete information.""",YES,The central complaint is inaccurate reporting; verification is requested as the remedy.
60,8235710,PERMISSIBLE-PURPOSE -> ACCURACY,Improper use of your report,Incorrect information on your report,,ACCURACY,"""The Financial Institutions and the Consumer Reporting Agencies lack my explicit written consent to furnish my information.""",NO,Mixes privacy/permissible-purpose theories with allegations of inaccurate reporting.
69,9757032,PERMISSIBLE-PURPOSE -> ACCURACY,Improper use of your report,Incorrect information on your report,,ACCURACY,"""you have shown incorrect accounts that should not be there at all.""",YES,The dominant grievance is the presence of incorrect accounts.
74,9167946,PERMISSIBLE-PURPOSE -> ACCURACY,Improper use of your report,Incorrect information on your report,"Identity theft is mentioned, but the requested remedy is deletion of fraudulent tradelines.",ACCURACY,"""I've recently received a copy of my credit reports and noticed several inaccuracies and late payments.""",YES,Identity theft is background; the complaint seeks correction of inaccurate tradelines.
8,15738333,PERMISSIBLE-PURPOSE -> INVESTIGATION,Improper use of your report,Problem with a company's investigation into an existing problem,,INVESTIGATION,"""I have submitted multiple formal dispute letters... I have exhausted all attempts to resolve this matter directly.""",YES,Focus is repeated failure to investigate despite multiple disputes.
54,8683869,PERMISSIBLE-PURPOSE -> INVESTIGATION,Improper use of your report,Problem with a company's investigation into an existing problem,Main complaint is failure to properly investigate/respond to disputes.,INVESTIGATION,"multiple unrecognized and/or duplicated inquiries to my credit file.""",NO,The narrative is extremely brief; could reasonably be viewed as either unauthorized inquiries or a dispute-handling issue.
63,12244051,PERMISSIBLE-PURPOSE -> INVESTIGATION,Improper use of your report,Problem with a company's investigation into an existing problem,,INVESTIGATION,"""I AM TRYING TO DISPUTE HARD INQUIRIES THAT I DON'T RECOGNIZE.""",YES,The grievance is the inability to resolve the dispute over the inquiries rather than the inquiries alone.
